cod_ter,total_2018,recurrencia_2018,prom_mensual_2018,recurrencia_%_2018,categ_suc_2018,categ_cco_2018,cod_suc_2018,cod_cco_2018,total_2019,recurrencia_2019,prom_mensual_2019,recurrencia_%_2019,categ_suc_2019,categ_cco_2019,cod_suc_2019,cod_cco_2019,total_2020,recurrencia_2020,prom_mensual_2020,recurrencia_%_2020,categ_suc_2020,categ_cco_2020,cod_suc_2020,cod_cco_2020,variacion_2018-2019,variacion_2019-2020,variacion_%_2018-2019,variacion_%_2019-2020
0,0.0,5.0,0.0,41.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,105000.0,8.0,8750.0,66.66666666666666,1.0,21.0,5.0,20.0,105000.0,9.0,8750.0,75.0,1.0,21.0,5.0,3005.0,30000.0,2.0,2500.0,16.666666666666664,1.0,21.0,5.0,3005.0,0.0,-75000.0,0.0,-71.42857142857143
14,150000.0,3.0,12500.0,25.0,1.0,21.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150000.0,0.0,-100.0,0.0
16,70000.0,2.0,5833.333333333333,16.666666666666664,1.0,21.0,125.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70000.0,0.0,-100.0,0.0
23,1200000.0,12.0,100000.0,100.0,1.0,21.0,15.0,20.0,1200000.0,10.0,100000.0,83.33333333333334,1.0,21.0,15.0,3005.0,200000.0,1.0,16666.666666666668,8.333333333333332,1.0,21.0,15.0,3005.0,0.0,-1000000.0,0.0,-83.33333333333334
38,100000.0,1.0,8333.333333333334,8.333333333333332,1.0,21.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,-100.0,0.0
52,60000.0,1.0,5000.0,8.333333333333332,1.0,21.0,5.0,20.0,50000.0,1.0,4166.666666666667,8.333333333333332,1.0,21.0,5.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000.0,-50000.0,-16.666666666666664,-100.0
62,452000.0,4.0,37666.666666666664,33.33333333333333,1.0,21.0,55.0,20.0,340000.0,3.0,28333.333333333332,25.0,1.0,21.0,55.0,3005.0,50000.0,1.0,4166.666666666667,8.333333333333332,1.0,21.0,55.0,3005.0,-112000.0,-290000.0,-24.778761061946902,-85.29411764705883
64,20000.0,1.0,1666.6666666666667,8.333333333333332,1.0,21.0,55.0,20.0,30000.0,1.0,2500.0,8.333333333333332,1.0,21.0,55.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,-30000.0,50.0,-100.0
79,150000.0,6.0,12500.0,50.0,1.0,21.0,125.0,20.0,73000.0,4.0,6083.333333333333,33.33333333333333,1.0,21.0,125.0,3005.0,20000.0,1.0,1666.6666666666667,8.333333333333332,1.0,21.0,125.0,3005.0,-77000.0,-53000.0,-51.33333333333333,-72.6027397260274
