cod_ter,misma_sucursal,misma_causa,donacion_total,variacion_promedio,variacion_2019-2020,variacion_promedio_%,variacion_%_2019-2020,recurrencia_prom,reccurencia
0.0,False,False,0.0,0.0,0.0,0.0,0.0,2.0,bimensual
14.0,False,False,150000.0,-75000.0,0.0,-50.0,0.0,1.0,mensual
16.0,False,False,70000.0,-35000.0,0.0,-50.0,0.0,1.0,mensual
23.0,True,True,2600000.0,-500000.0,-1000000.0,-41.66666666666667,-83.33333333333334,8.0,octimestre
38.0,False,False,100000.0,-50000.0,0.0,-50.0,0.0,0.0,0
52.0,False,False,110000.0,-30000.0,-50000.0,-58.33333333333333,-100.0,1.0,mensual
62.0,True,True,842000.0,-201000.0,-290000.0,-55.03643935450286,-85.29411764705883,3.0,trimestral
64.0,False,False,50000.0,-10000.0,-30000.0,-25.0,-100.0,1.0,mensual
79.0,True,True,243000.0,-65000.0,-53000.0,-61.968036529680354,-72.60273972602741,4.0,cuatrimestre
111.0,False,False,100000.0,-50000.0,0.0,-50.0,0.0,1.0,mensual
126.0,False,False,140000.0,-70000.0,0.0,-50.0,0.0,1.0,mensual
131.0,False,False,79000.0,-39500.0,0.0,-50.0,0.0,1.0,mensual
153.0,False,False,50000.0,-25000.0,0.0,-50.0,0.0,0.0,0
159.0,False,False,50000.0,-25000.0,0.0,-50.0,0.0,1.0,mensual
160.0,False,False,20000.0,-10000.0,0.0,-50.0,0.0,0.0,0
161.0,False,False,50000.0,-25000.0,0.0,-50.0,0.0,1.0,mensual
179.0,False,False,100000.0,-50000.0,0.0,-50.0,0.0,1.0,mensual
193.0,False,False,50000.0,-25000.0,0.0,-50.0,0.0,1.0,mensual
203.0,False,False,5000.0,-2500.0,0.0,-50.0,0.0,0.0,0
216.0,False,False,20000.0,-10000.0,0.0,-50.0,0.0,0.0,0
217.0,False,False,20000.0,-10000.0,0.0,-50.0,0.0,0.0,0
249.0,False,False,450000.0,-225000.0,0.0,-50.0,0.0,1.0,mensual
