cod_ter,cod_verificacion,nombre,sector_empresarial,ciudad,tamano,antiguedad,enfoque_social,tipo_vinculo_con_ACF,nombre_contacto,cargo,referido_por,fecha_ultimo_contacto,celular,telefono,extension,telefono_2,mail,beneficio_generado,dona_otras_causas,capital_social,ventas,
107300142,,Limmat,,Suiza,Mediana,25,,,,,,,,,,,,,,,,
800018359,1,Belcorp,,Bogotá,Grande,,Impulsamos el potencial de la mujer para transformar la sociedad.,No vinculo solo referido,Juliana Lozano,Lider Responsabilidad Social,Lucy,,,(57 1) 593 0404,,,jlozano@belcorp.biz,,,,Entre 1.000 y 2.000 millones COP,
800021308,5,Drummond,,Bogotá,Grande,,,No vinculo solo referido,Pablo Urrutia,Vicepresidente de Comunicaciones y RP,Lucy,,,,,587-1000,purrutia@drummondltd.com,,,,Mayor de 100.000 millones COP,
800033961,,Fondo de empleados Universidad de la Sabana,Fondos de empleados,chia,Mediana,,Empleados,Donante especie,Rocio Goyeneche,Gerente,Nubia R.,19/10/2020,311 254 6053,31955,,861 5555,rocio.goyeneche@fonsabana.com.co,,,,,
800129789,,Hace Ingenieros,,Bogotá,Pequeña,,Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica,,,,,,,4059509,,,,,,,Entre 2.000 y 5.000 millones COP,
800134773,2,SOLINOFF,,Bogotá,Grande,25,,No vinculo solo referido,Juanita Florez,Directora de RH,Lucy,,,,,446 3822,jflorez@solinoff.com.co,,,,Entre 10.000 y 20.000 millones COP,
800143557,6,Corp. Educativa Central,,Bogotá,Pequeña,,Educación ,,,,,,,6576000,,,,,,,,
800158850,,Packing SAS,,Bogotá,mediana,25,,,,,,,,8574211,,,,,,,Entre 20.000 y 100.000 millones COP,
800180808,7,Summum,Energia,Bogotá,Grande,,Interés en Ecológico aún no definen RSE,No vinculo solo referido,Liliana Duran,Directora Juridica y RSE,Nubia R.,19/10/2020,3164649810,6671414,1253,,lduran@summumcorp.com,,,,Menor de 1.000 millones COP,
804017650,9,Coorserpark,,Bogotá,pequeña,,,Comprador articulo,,,,,,(1) 317 56 70,,,,,,,,
